,text,id,category
24,"NOW Foods Apricot Kernel Oil (Liquid), 16 oz
Great oil! Use mostly on my hair for dry scalp and skin. Does not smell strong by any means and not very greasy. Price is great for the amount of oil you get. Will repurchase.",R23W4HPDPZG914,Health_Personal_Care_v1_00
25,"Rescue Essentials Shears EMT/Scissors Combo Pack with Holster, Tactical All Black
For the price and all you get it is a good add on to a IFAK.  The metal and materal seem to be of good quality.  I hope I never have to use it, but one can't rely on hope.",R1CTFBGCOBYRXF,Health_Personal_Care_v1_00
26,"Bird & Cronin Cradles Elbow/Heel Support One Size Fits All
Product was well packaged, delivered as proposed, however, it was purchased for my spouse, She stated the product was awkward and somewhat bulky, but, it is well made.",R3MAGONAB10UNX,Health_Personal_Care_v1_00
27,"Theramed Universal Dual-Temp Cold Pack
These saved me when I was suffering through some weak knee issues. Stays cold for a long while. Great quality! Knee problems resolved! I bought 4 of these to get them on a rotation. Price is right",R38S6BQ0DIT9H3,Health_Personal_Care_v1_00
28,"Ultrasonic Aromatherapy Essential Oil Diffuser/humidifier/nebulizer with 7 Color LED Lights
Been using the product for months now and not a single problem has been encountered.<br />The diffuser perfectly purifies the air creating a relaxing ambiance. Great product!",R3DY82VREKXF1C,Health_Personal_Care_v1_00
29,"GreenAir Spa Vapor + Advanced Wellness Instant Healthful Mist Therapy
Works great. I read some of the reviews when I bought it and took their tips to fill it up and how much oil etc. And I've had no problems with it at all.",R1QN90GOH242NT,Health_Personal_Care_v1_00
30,"NOW Foods Red Yeast Rice Extract
Fast shipping and came just as advertised. Unfortunately my mom had a reaction to the lovastatin naturally made by the yeast, but it was worth a try. Thanks so much!",R3M5VZH8QQ0RIO,Health_Personal_Care_v1_00
31,"NatureWise Green Coffee Bean Extract 100% Pure with Antioxidants, All Natural Weight Loss Supplement, Maintains Normal Blood Sugar Levels, 50% Chlorogenic Acid, Non-GMO, 800mg, 60 Count
I have been taking this product for 2 weeks. I have not lost any weight so far but this seems to help curb my appetite. I hope to start losing weight on this soon and will update.",R2XIDHYY5UN4XF,Health_Personal_Care_v1_00
32,"NeilMed Nasadock Plus Stand
This stand dries out your Neti Pot to keep you safe and healthy, and makes your whole setup look more neat and organized. I highly recommend this product.",R19E79W8OJNEJO,Health_Personal_Care_v1_00
33,"Hitachi CM-N2000-W | Hada Crie Cool Facial Moisturizer Massager (Japanese Import) by HealthMarket by Hitachi (HITACHI)
the clean section is not that useful than I expect, maybe it will work for long term use.  The cold section doesn't work after 3 weeks! Don't know why is that!",R2RZGONPNJWMJC,Health_Personal_Care_v1_00
34,"Celeste Stein Therapeutic Compression Socks, 15-20 mmhg, 1 Pair
I have 13 pairs of the med compression (15-20) socks. They make my legs and ankles feel great and everyone wantsto know where I found such fun prints and colors!",R123M3XKG67GGM,Health_Personal_Care_v1_00
35,"EM-3513 - Sleep Mask
I was looking for an eye mask that fit, that blocked out the light and that would stay in place during the night.  I got all of that --- AND it is attractive!",R281C1H1SMOBIF,Health_Personal_Care_v1_00
36,"Energizer CR1620 Lithium Battery
We needed a battery for a 2012 Mazda 3 car remote.  It’s not the easiest battery to find in the store.  I installed the battery after watching a how to video.  Works great",R1DEJW8FYONYHS,Health_Personal_Care_v1_00
37,"Mediflow Water Based Pillow - 2 Pack
I started using these Mediflow  water based pillows about 20 years ago because of neck pain.  I also got my husband using them.  We won't use any other pillow.",R2RYFN12DB1835,Health_Personal_Care_v1_00
38,"NOW Foods - Castor Oil
Great deal! The castor oil around my neighborhood is triple the price. I love this. I use it whenever my brows or lashes seem to need a bit more moisture.",R1VUSXJ4VDWRZJ,Health_Personal_Care_v1_00
39,"Jimmyjane Hello Touch X, Black
This is a great couples' toy/gift! They're a great way to add a little excitement to a weekend getaway, or lazy afternoon. Protip: put two on the same finger side by side, to mix it up.",R26RS5XE6XUM8K,Health_Personal_Care_v1_00
40,"Aylio Coccyx Seat Cushion | Back Support, Tailbone and Sciatica Pain Relief, Washable Cover
THESE ARE THE GREATEST SEATS FOR THE CAR. WE DROVE TO VIRGINIA AND BACK WITH NO LOWER BACK PAIN FOR EITHER OF US. I WOULD HIGHLY RECOMMEND THESE FOR ANYONE WITH LOWER BACK ISSUES",R1ZF2WVZS7NCZL,Health_Personal_Care_v1_00
41,"2.5mm X 17mm Non-slip Self Stick Eyeglass Nose Pads - GMS Optical® Premium Grade Silicone with 3M Adhesive Backing
I use these pads on two pairs of sunglasses and so far with excellent results. After sweating they haven't moved a bit and seem like they will last a long time.",R2WVDZ9WI830DT,Health_Personal_Care_v1_00
42,"Red Yeast Rice With CoQ10 Cholesterol Support 180 Capsules 2 Bottles
arrived and seems quality, my wife has been losing weight but i can not attribute it to this product as she is also eating less and increased activity.",RIJWSIHCND27,Health_Personal_Care_v1_00
43,"Bathroom Scale-Mechanical Scale,Back To School
I have used the scale a few times already but I'm not sure if it's working correctly yet. I have to set it back to 0 on both occasions but it appears to be remaining on the 0 now.",R3P575LY04ECG7,Health_Personal_Care_v1_00
44,"AmazonBasics C Cell Everyday Alkaline Batteries (12-Pack)
Solid C batteries for the price. They arrived very well packaged in what seemed to be the Amazon frustration free style. I will order again due to the demands of my kids toys!",RO7BG21WDYD8Y,Health_Personal_Care_v1_00
45,"Neem Capsules / Azadirachta Indica Capsules / 500mg 60 Vegetarian Capsules - Apollo Pharmacy - No #1 in Indian Pharmacy
I had done a search for supplements that helped with fungus and came up with Neem. I can't believe it but it has really really helped. Almost symptom free now.",R2OYL70J1UM8O1,Health_Personal_Care_v1_00
46,"Penetrex - Pain Relief Cream, 2 Oz :: Ranked #1 in Medications & Treatments 5 Years Running. 100% Unconditionally Guaranteed.
Fantastic product for relief of joint aches and muscular pain.  I especially like the way it leaves your skin, smooth and satin.<br />I highly recommend this product.",R2V009NC1OSMBD,Health_Personal_Care_v1_00
47,"NOW Oregano Oil,90 Softgels
I always take oregano oil to stop infections naturally.  If you have brain fog, craving sugar, or even joint stiffness, try this! I always keep a bottle on hand.",R2XDUW1HTN6CN,Health_Personal_Care_v1_00
48,"Merrement Kegel Exerciser Training Program, Weighted Ben Wa Balls with String for Kegel Exercises
Great packaging, arrived early, works well and does what is is designed to do. Comfortable and easy to use. Much more affordable than other sets I considered purchasing.",R18E1SLHT5ILL7,Health_Personal_Care_v1_00
49,"The Best Pain Reliever For Braces Wearer - Orthodontic Silicone ORTHOSIL PK of 9
Bought these b/c the ortho silicone we bought before (w/the gel) wasn't avaiable. My son, who plays Horn says that the strips are not long enough. Likes the other one we bought much better.",R2CXPQK6BG4UMY,Health_Personal_Care_v1_00
50,"Dr Song Home Professional Teeth Whitening Kit 35% Carbamide Peroxide 4 XL Syringe with Light
The mouth piece is not that great. It traps saliva around the teeth diluting the peroxide and diminishing the effect. Improve the mouth piece and this product could be amazing.",R3IR2LZN596HOL,Health_Personal_Care_v1_00
51,"Australian Dream Arthritis Pain Relief Cream, 9 Ounce
I always buy this cream.  It's the greatest!  It works for me on my knees, lower back and neck.  I would highly recommend it.  No smell, no grease and no burning.  Try it, you'll love it.",R3MAAYQ4JOSDQQ,Health_Personal_Care_v1_00
52,"Gurin High Accuracy Digital Bathroom Scale with 4.3"" Display and Step-On Technology
A very good bathroom scale.  It is easy to use and clean.  Compared to professional scales (doctors, Weight Watchers) it is .6 to .8 pounds low - without any means to calibrate it.",R2NHTUANXD0KSJ,Health_Personal_Care_v1_00
53,"Mountain Air 1 X Scented Trash Bags Fresh, Small, 50 Count, 4 gallon
I have ordered these twice now. The first package was fine. The second set that I ordered, however, was full of holes. The bottom of each bag was not sealed correctly.",R2JU79Y0UX394X,Health_Personal_Care_v1_00
54,"Eden Pond Turmeric Curcumin, 1000mg in Two Daily Capsules, 120 Caps
I've been taking this about 2 months and I've definitely noticed a difference....the knee pain,lower back pain and my general feeling after a long hike is better.....less soreness.",RA0UXVMJCGR5N,Health_Personal_Care_v1_00
55,"Pampers Baby Dry Diapers
This has got to be my favorite brand of dippers.  I have tried pretty much all the other brands and nothing compares to pampers. They are super soft and really absorbant.",R20K8IGCSNVCDX,Health_Personal_Care_v1_00
56,"Epiwand Facial Hair Epilator For Women - Effectively Remove Unwanted Face Hair Without The Use of Tweezers or Expensive Laser Treatment, Waxing & Threading Systems - Complete with Box & Instructions (Pink).
Works fairly well, takes a little while to get the hang of, but once you do it's pretty effective!  I'm used to plucking/waxing/sugaring so I find the &#34;pain&#34; to be little to none.",R1F11TCOSWEHQ0,Health_Personal_Care_v1_00
57,"Dorco Pace 6 Plus- Six Blade Razor System with Trimmer - Value Pack
Pretty good... they wear out a little more quickly than the higher priced razors that I have used for years, but it still costs a lot less overall to use them.",RODBGO7MHECSX,Health_Personal_Care_v1_00
58,"Thermalon Microwave Activated Moist Heat Pad for Shoulder, Abdomen, Back, Hip, 9"" x 12""
It is very good, the only thing that I do not like that much is that is doesn't bend very easy around the bicep.  It's great for the back or a larger parts of the body.",R2UNJNXPX0LI8B,Health_Personal_Care_v1_00
59,"Dorco Pace 3- Three Razor Blade Shaving System- Value Pack
Just as good as the Mach 3 that I have used for years, but much much less expensive.  They last as long, if not longer as well.  Overall, the quality is very good.",R3LSOLJKCFA4TD,Health_Personal_Care_v1_00
60,"BulkSupplements Pure Acetyl L-Carnitine (ALCAR) Powder
Very pure and one of the more effective forms of ALCAR I have found.  The price is great as well so if you combine that with prime shipping you have a great deal!",R27CJQGX3ME817,Health_Personal_Care_v1_00
61,"Weight Gain Formula GAIN CURVES Gain weight pills for women. Skinny Women gain weight Gain Fast Weight gain for women. Get a Brand New booty hips & bust Butt Enhancement Enlargement Gain weight pills
This weight gain formula doesn't meet my expectations it doesn't work is there any other weight gain formula that would work best for me,because I don't like that one",R1FG6Q7CJGXS3C,Health_Personal_Care_v1_00
62,"#1 Brain Function Booster Nootropic - Super Ginkgo Biloba complex with St John's Wort & Bacopin - Supports Mental clarity, Focus, Memory & more - 100% Moneyback Guarantee (1 Mo. Supply/1 Bottle)
I was skeptical at first but this product works. I've noticed improved focus and mental clarity.  I am getting a free bottle for this review, but I wouldn't do it if it didn't work.  give it try",R2QQJAIK4IZTWA,Health_Personal_Care_v1_00
63,"Creatine Monohydrate Powder Micronized by BulkSupplements | 99.99% Pure High Performance Formula | Pre/Post Workout Bodybuilding/Crossfit Supplement for Extreme Muscle Building & Energy
This stuff is super powdery, it mixes well in anything. The only gripe I have is that the ziplock is pretty tough to seal up. Otherwise, great product.",RWYRIF4VLWTF2,Health_Personal_Care_v1_00
64,"Newton Homeopathics 1oz Constipation
Before I began to eat a raw veggie diet and implementing Gerson Therapy practices, I used this. Went from relinquishing BM every 7 days to 1-2 days. I don't used it much now but this works great.",R3N4XRKZU712OO,Health_Personal_Care_v1_00
65,"Vega Sport Pre-Workout Energizer, Lemon Lime
No pump, no energy, kinda tastes like ground up grass. Wanted a natural oreworkout but this one has me questioning what I paid for. Will go back to c4 or try amino energy again.",R397LITTO1F9P0,Health_Personal_Care_v1_00
66,"Moen CSI DN7005 Glacier tub grip
I like this multi grip rail. it helps me in and out of the tub and with the tool that comes with it you can easily remove it for others to use the tub.",R2VVIGL5ELVSI3,Health_Personal_Care_v1_00
67,"BulkSupplements Pure Fish Oil Softgels - 1000mg
I love getting just what I want without extra packaging and frills. This product would get 5 stars if it didn't cause fish burps. I will order again and again.",R15ZH3RCYJ9XS5,Health_Personal_Care_v1_00
68,"SnoreDoc Sleep Anti Snore Sleep Chin Strap
I have used many Chin Strap before but those were not comfortable to use. But it is the only one which is perfect size and works very well. I like this chin Strap. Definitely good buy.",R37POVR1CQOQJL,Health_Personal_Care_v1_00
69,"Jarden Consumer-Domestic 002014-915-000 Xpress Heating Pad, 6 Settings, 12 x 15-In.
Fast Shipping !!!<br />Perfect Heating Pad ... So Happy i chose this one ... Heats-up Super Fast, Super-Soft, inexpensive, etc... This is the One to buy.",R373CM4ES5U49J,Health_Personal_Care_v1_00
70,"Nature's Way Evening Primrose Cold Pressed 1300mg
Bought these to help my period get back to normal after getting off the pill. They have really helped with cramps and the length of my period. Will purchase again.",R2CUZDIASJC3WM,Health_Personal_Care_v1_00
71,"Yuve Vegan Protein Powder with Superfoods
I love Yuve.  It is the best tasting protein shake I've tried and I've tried a lot.  If you let it sit for a few minutes after making your shake it thickens up a tastes decadent.",R6DNYW8DMIOPO,Health_Personal_Care_v1_00
72,"K9 Peak Muscle 4lb
Absolutely great product I own a Belgian Malinois an extremely hyper dog. He was losing weight and I gave peak muscle a shot along with eagle power dog food he put on 7 lbs in 3 weeks",R3Q9A6HRPWQRXD,Health_Personal_Care_v1_00
73,"Contour Memory Foam Leg Pillow with Cover
Tried to save money over buying the one at a local store. This is even the same brand, but the foam is too soft to do anything. Lesson learned. Returned.",R2Z4B5BA2IGAYD,Health_Personal_Care_v1_00
74,"Wellgate Women's Ultra Lite Knee Support - Large / X-Large (Queen)
The Welgate brand women's queen size  is excellent in fit and support. My wife has been using these for many years because of her knees.<br />I highly recommend these.",R26KZ59W56JRPQ,Health_Personal_Care_v1_00
75,"Jasmine 100% Pure Therapeutic Grade Absolute Oil by Edens Garden
Has a very sour afternote and quite honestly smells more like honeysuckle to me. I've grown grandiflorum, and the blooms smell nothing like this product. Very disappointed.",R1HN8PS5MWTGN7,Health_Personal_Care_v1_00
76,"Best Probiotics Supplement: New Improved 10 Billion CFU's Purebiotics Once Daily Small Pearl sized tablet-Formulated with 14 of the Most Essential Strains May Improve Digestion & Boost Immunity for Women, Men & Kids
NOT SURE IF THEY ARE THE BEST FOR ME.  I DO BELIEVE THEY COULD HELP SOME.  THERE ARE SO MANY DIFFERENT KINDS OF PROBIOTICS, IT IS HARD TO UNDERSTAND WHICH ONE IS A GOOD MATCH.  IT IS A GOOD PRODUCT.",R27I348Y2MPX0T,Health_Personal_Care_v1_00
77,"Botanic Choice Alcohol Free  Liquid Extract, Chamomile Flower, 1 Fluid Ounce
Perfectly packaged without any damaged glass bottles. This extract is, in my opinion, one of the best ways to get a good night sleep without a prescription for a sleep aid.",R2F9UBPRJCH47H,Health_Personal_Care_v1_00
78,"Sombra Warm Therapy Natural Pain Relieving Gel
The warmth from this is perfect.<br />My chiropractor used it on me once, then I bought my own and have not looked back since.<br /><br />It works wonders.",R1I3X4ENLTWICE,Health_Personal_Care_v1_00
79,"Ultrazyme Enzymatic Cleaner Tablets, 20-Count Box
Product arrived in good condition. In one of the packets a couple of tablets were mashed up and unusable. I will probably buy this product again because I have not found a good substitute for it.",R103ZUGQTGB38L,Health_Personal_Care_v1_00
80,"Waterproof Teaser Tongue Enhancer Cock Ring
Not crazy about writing a review for a cock ring, but I keep getting pinged to write one.  OK, it works.  Not very strong vibration, quality could be allot better....there!",RTS2WWJ90A0HJ,Health_Personal_Care_v1_00
81,"Nutrex Research Lipo 6 Unlimited Diet Supplement, 120 Count
I use this product for a late afternoon pick me up. I like it since it does not make me jittery. I limit myself to taking only 2 a day. I do not use this for weight less support.",R19NLG17XI1D7Q,Health_Personal_Care_v1_00
82,"Human Touch AcuTouch® 9500x Massage Chair
We've experienced no issues with this chair since we purchased it and absolutely LOVE it. If any issues should arise, I'll be sure to update my review...especially for the money we paid.",R1LFZHB4OEZBDU,Health_Personal_Care_v1_00
83,"Astaxanthin (12mg) with Organic Coconut Oil; Non-Gmo Verified and Vegan Friendly| Powerful Antioxidant Naturally Supporting Joint, Skin, & Eye Health - 60 Veggie Softgels
Great product! Purchased to aid in sunburn protection but appreciate the many varied other benefits such as anti-inflammatory, eye health & antioxidant defense as well,",R3G3Q1VBFVDLKW,Health_Personal_Care_v1_00
84,"Sunbeam 756-500 Heating Pad with UltraHeatTechnology
My best friend during cold season and when my tummy hurt.  I like the fact that it is not on timer. be careful to not put on top of ypur tempur pedic mattress.",R186885V3XXLVB,Health_Personal_Care_v1_00
85,"Pea Protein Isolate from North American Farms - 5 Pounds
Great product and the flavor is no worse than any unflavored pea protein.  It's tolerable with just water but adding coconut sugar or cocao may give it some flavor for those who don't like plain.",R30GIEXXPOSSW0,Health_Personal_Care_v1_00
86,"Pure Chromium Polynicotinate Supplement - Made In USA - 200mcg + Vitamin B3 for Optimal Absorption, Veggie Cap, 14 week Supply, 100% Money Back Guarantee
This product works. Recently,  I had blood work done and my glucose number went down from 101 to 90. I  really like how label says, &#34;does not contain. ......great company.",RSC6ZXKO0H8TO,Health_Personal_Care_v1_00
87,"NOW Foods Rosemary Oil
I USED IT ON A BALDSPOT ..WOOO-WEEE HAIR AGAIN..RESULTS IN A VERY SHORT TIME 10 DAYS I RUBB MY FINGER OVER MY SCALP FELT THE STUBS..ALSO I MASSAGED IT ON MY SCALP WITH COCONUT OIL SOMETHIME..",R21K47XB8FLW68,Health_Personal_Care_v1_00
88,"WATER AWAY Herbal Formula for Healthy Fluid Balance - Premium Herbal Blend with Dandelion, Potassium, Green Tea & More - 60 capsules - Manufactured in the USA
Ordered bottle #2. This works better than other products for me. I use it for pms, if I have an event and to reduce edema from overtraining. Drink lots of water though!",R3RO14KMD4SH05,Health_Personal_Care_v1_00
89,"Genacol Instant Gel (120mL = 4 fl oz) Brand: Direct Lab (Genacol)
I was very satisfied with the results I would recommend this product to anyone. As a matter of fact my father use this<br />for his aches and pains and it works for him he is 97 years old.",R227G3UIKVTE5E,Health_Personal_Care_v1_00
90,"Guardian Technologies GG1000 Germ Guardian Plug-In Room Sanitizer
Have a cat litter box and helps keep smell vacant, Nonexisting very happy may order one  for my Beauty shop to keep the perm Smells down would highly recommend",RHPO4XO2X8RLD,Health_Personal_Care_v1_00
91,"Car Seat Cushion with Strap - THICK 3 Inch Auto Drivers Wedge | Coccyx Support for Back, Hip and Leg Pain | Orthopedic Clever Memory Foam with Breathable, Washable Cover | 18 Inch Front, 16 Inch Back
I have always used a car seat cushion  and so far this is the best. The quality of the product is great. I have been using it for several days now and i feel very satisfied with it.",RGOBPOH8E7HN6,Health_Personal_Care_v1_00
92,"Peaches & Cream Premium Grade Fragrance Oil
It arrived on time and smells absolutely delicious-like actual peaches and cream. There's quite a lot which is awesome cause you get a lot for your money. Will be buying from here again",R3U4X7ORSXQWTY,Health_Personal_Care_v1_00
93,"""Mountain Valley"" Scent Beard Balm in a 1oz Tin
Amazing product! Would recommend it to anyone! Men and women! Works great on women's hair as well keeps it rejuvenated. I have many friends and family who use it.",R36MPAGGBFFIDA,Health_Personal_Care_v1_00
94,"luvs diapers size 3
These work great for us, I like the price too!  The only complaint I have is that sometimes they have an odd odor.  It doesn't bother me enough to quit using them though.",R3LDRSD2BKL761,Health_Personal_Care_v1_00
95,"Saridjo® Donut Ring 18"" Cushion Pillow Medical Coccyx Cushion Hemorrhoids, Tailbone, Spine, Surgery, Pregnancy, Child Birth, C-section, Anal, Maternity, Pregnancy, Yoga Meditation Pillow - Brown - Air Pump Included
I bought this for my wife who just delivered our little one. This pillow came with a hole and does not hold air . Do not buy this ! Total waste of money.",R22MIMEXYL7P2C,Health_Personal_Care_v1_00
96,"Pure 95% HCA Garcinia Cambogia Extract – Pharmaceutical Grade Formula & HCA Supplement – Natural Appetite Suppressant for Weight Control – Guaranteed By Huntington Labs – 60 Capsules
Not worth the money.  The only thing it did was make me tired.  If you are looking for something to relax you then this is it otherwise don't waste your money.  Much better products out there.",R6YABQXLZUZ48,Health_Personal_Care_v1_00
97,"Good State Liquid Ionic Potassium (48 servings at 99 mg elemental, plus 2 mg fulvic acid - 8 fl oz)
Did anyone else get this Potassium with no expiration date on it ? I love the Magnesium and it has a date on the first and second bottles but the new Potassium does not have a date ????",R4R7RNN1FA12E,Health_Personal_Care_v1_00
98,"Utimi 10-frequency Silicone Dildo Vibrator (Purple 2#)
It is as described and works well.  The only issue I have is if you use it for very long, it gets real hot to the touch, so it is can get uncomfortable, so I am a little concerned about that.",R108VPOM8J5BT1,Health_Personal_Care_v1_00
99,"Tinkle Eyebrow Razor (Pack of 3)
These ones worked great. Many many uses from one razor. Reviews R so hit and miss that I feel lucky getting a pack that had good razors. Will re order but worried I'll get a bad pack nxt time.",R3O19XB0XUUFEP,Health_Personal_Care_v1_00
100,"S.O.L. Survive Outdoors Longer Emergency Bivvy
This Bivvy is high quality and it functions wonderfully. I wouldn't want to be caught without this when camping in questionable weather, this is good for any emergency kit!",R2W89ITUYTCW7Y,Health_Personal_Care_v1_00
101,"VH Essentials BV Treatment Vaginal Inserts, Homeopathic Time-release, 6 Count
This has been discontinued and replaced by updated packaging &#34;Vaginally Odor Treatment&#34;. Do not pay this over inflated price for an &#34;old&#34; product",R3RXK4H9IPRXJZ,Health_Personal_Care_v1_00
102,"Pounds and Inches Drops for Weight Loss, 2 Oz. Bottle
The product arrived quickly, the instructions were easy to understand and follow and the results were great. I recommend this company and this product.",R5KOUH91FXNZ2,Health_Personal_Care_v1_00
103,"Sports Research CLA 1250mg (Highest Strength)
Excellent source of CLA at a great price. Sports Research does a fantastic job with each transaction - quick shipping and accurate product description.",R3N2D6R1PDAYA9,Health_Personal_Care_v1_00
104,"2 Months Hairfinity Vitamins Healthy Hair Rapid Long Hair Growth - Pack of 2 - 60 Capsules per bottle
I've noticed some change in my hair volume it looks better but not like so much better just a little bit change . And i have been using it now for one month",R15LUS086Z1WML,Health_Personal_Care_v1_00
