,A,B,answer
12,I give this a 5 star great little dishwasher.  If you don't have a lot off room perfect for you.  Clans excellent.  Works as well as the full size.  Very quiet.,It leaks in several places and cant find away to contact seller it does however clean the dishes well but has destoyed my counter top ! also would like to add that my counter was level .,A
13,"All manual' ! Wasting my time, I don't know there is a stone age washing on this century. The only advantage is that the dry effect is good, the clothes do not drop'","This works for what I need. I have no washer and dryer hookup, so I use this in my bathroom. That way I don't have to lug it up up and down the stairs and I don't have to go to the laundromat.",B
14,"This is a gimmick. Don't buy it. I was duped by the reviews, but it really doesn't do much except give you some energy. If you want testosterone supplements, go to your doctor and get the real thing.",I have been using your product for a few days and I do feel the difference when I am in the gym. My address is 525 Argyle Ave. Orange New Jersey  07050,B
15,Prompt delivery and great looking microwave. I cannot wait to try out grill function. I already went through instruction book to familiarize myself with the functionality.,"I've had the microwave for 2-months. It used to open easily. It no longer opens when you push the button, you have to manually pull the door open. definitely a disappointment. I hope I can return it!",A
16,"Makes lots of ice very quickly.There seems to be no difference between the small and large size cubes,but that is not an issue for us,So far so good, we love it.","The box states scratch & dent .It does not state this in the ad.<br />After reading other reviews ,it appears that I am not the only one that received a scratch & dent unit",A
17,"Installed filter ran water for 5mins, drink the water and OMG it taste like sewage.  I feel sick as I am writing this review, I did file a return and order the OEM immediately.",works just as good as the original filter that came with the fridge... if your looking ways to save money on outrages filters this is the way to do it ...,B
18,Absolutely terrible you cant even fit a normal size box of tissue in it at all.  I wanted to send it back but it was past the allowable date to do so.  A total waste of my money.,Just adorable!!  You have to take the tissues out of the original cardboard box and install them in the holder.  Looks alto better than the tissue cardboard boxes around the house!,B
19,"Purchasing and pickup were flawless and I couldn't be happier with the machine. Fits perfectly in my small home, it's easy to use and washes like a champ. No more Laundromat for me!","Don't let the spin &#34;dryer&#34; feature fool you. Even several times of running it, the clothes were soaked. I had to run to the laundry mat with the damp stinky clothes. I returned this thing.",A
20,Delivery was great and the product works great.<br />I'm always weary when I buy replacement cartridges<br />but these worked awesome. Great product and will<br />purchase again.,"This filter seemed OK at first, but then ice water from the night before tasted rough in the morning.  Then within another month even new water tasted like Atlanta tap water.  Will not buy again.",A
21,"The temperature doesn't stay consistent.  It will go from 52-57 throughout the day.  Concerned it won't keep the wine good, but it hasn't ruined any yet.",Is a great price for such a large cooler. Makes significant low noise but does the job and doesn't shake which is essential for preservation of aged wines.,B
22,Fixed the sqeeling noise (idle pulley) and while I had the machine apart replaced rollers and belt. Fit perfect Whirlpool front load. also great price.,The rollers smell like burning tires. Avoid this kit despite the excellent value. I found a kit with rollers that were the same diameter but didn't smell like a tire fire.,A
23,"Replaced this unit 8/2014, and here we are again. The longevity is lacking contrasted the original which lasted about 20 years. Ill give it a second go.",Does the job on my Series 80 Kenmore washer. Save the metal bracket from your old unit as this one does not come with one. Can't beat the price and it shipped quickly.,B
24,"Very quite when cycling. Doesn't appear to leak anywhere. Keeps things consistently cold. Does what it's supposed to do, which is keep bottled water cold upstairs.",in all my time in amazon since 08 this is my first bad electronic review. It didn't even work for up to 24 hrs I advice people to pay a lil more for something that will work,A
25,"We used this airbed for three nights and all three nights we needed to add air to the bed.  More so, we had to add air 2-3 times throughout the night.  :(","Inexpensive, great quality, super comfortable, and happy relatives. I put a memory foam mattress topper on top and you can't even tell it's an air mattress.",B
26,It came with a dent in the door frame. . . since I was keeping it in the garage I didn't think it was worth the inconvenience or returning it.<br />It seems to be working well. . .,Purchased one about 10 mos ago. It just gave out and died. I would not recommend it. Also it is fairly loud. Amazon will not accept a return so: I lose.,A
27,I have had the Vega one products previously but this one tasted AWEFUL!!!!!!! Wouldn't recommend at all. Even after mixing it with frozen blueberries and banana it was still tough to choke down.,I have purchased this more than once and I really enjoy it. I like a shake for breakfast and I feel like I am doing something healthy for my body. It holds me over until lunch. I will buy it again.,B
28,"The best kitchen camp addition ever! Strapped to canopy and its perfect shelving! Oh, my husband cut thin wood for stability on the shelves in case i put weight, will be fine without too though.",This is the second one I was buying. The first one was great. The second one is not sturdy and small. Charging same price and not getting what I paid for.,A
29,"If you're a golfer this is a must have. On hot humid days, this is cooling relief.  On hole #12 we had the beverage girl throw some ice in it and aaahhhh, what a nice cool mist. PERFECT!!!",It sprays less that 2 feet.  Have to pump before each spray.  Could be that I have a defective pump.  But I have to pay for shipping back to vendor which is hardly worth it.,A
